latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,departure_time,arrival_time
39.2215,-104.5755,3a3e4634,A27330,249,58600,8,,BALL,N257TH,1753025544,,,,,0,0,HBAL732,,,
-33.3781,-70.5797,3a9f267b,10C32270,253,2283,6,,GLID,RPT-1,1753025510,,,,,0,256,RPT1,,,
45.8081,8.7723,3a9f26a5,DF0862,89,800,0,,GRND,,1753025496,,,,,0,0,LILC,,,
36.917,-4.683,3a9f26d1,108E20F0,213,1377,1,,GLID,EGC19-4,1753025519,,,,,0,0,EGC194,,,
43.5219,-96.7557,3b0eacaf,A26F79,270,59100,1,,BALL,N256TH,1753025539,,,,,0,64,HBAL756,,,
50.4238,9.199,3b434aa5,DD98AC,294,1059,1,,GLID,TEST,1753025540,,,,,0,0,TEST,,,
35.0595,-89.9564,3b522ec9,A17B40,271,0,0,,B763,N195FE,1753025544,YMX,MEM,FX131,FX,1,0,FDX131,FDX,1752888687.0,1752898534.0
39.0321,-84.6507,3b5274d7,A1DB3A,89,0,0,,B763,N219CY,1753025545,ATL,CVG,GB110,GB,1,0,ABX110,ABX,1752900671.0,1752903968.0
-33.378,-70.5793,3b52a7a1,101C2902,90,2230,1,,GLID,CC-TR21,1753025538,,,,,0,0,CCTR21,,,
47.6176,19.1432,3b52bd6e,10F74B20,153,419,1,,GLID,HA-5176,1753025544,,,,,0,0,HA5176,,,
