latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
39.181,-104.4046,3a3e4634,A27330,135,57800,4,,BALL,N257TH,1753017386,,,,,0,0,HBAL732,
-33.3779,-70.5792,3a9f267b,10C32270,90,2299,1,,GLID,RPT-1,1753017380,,,,,0,0,RPT1,
45.8081,8.7723,3a9f26a5,DF0862,180,787,0,,GRND,,1753017356,,,,,0,0,LILC,
36.9169,-4.6832,3a9f26d1,108E20F0,204,1430,3,,GLID,EGC19-4,1753017331,,,,,0,0,EGC194,
43.3257,-96.6,3b0eacaf,A26F79,296,59600,8,,BALL,N256TH,1753017386,,,,,0,128,HBAL756,
50.4239,9.1988,3b434aa5,DD98AC,309,1026,1,,GLID,TEST,1753017299,,,,,0,0,TEST,
35.0595,-89.9563,3b522ec9,A17B40,89,0,0,,B763,N195FE,1753017384,YMX,MEM,FX131,FX,1,0,FDX131,FDX
39.0321,-84.6507,3b5274d7,A1DB3A,89,0,0,,B763,N219CY,1753017387,ATL,CVG,GB110,GB,1,0,ABX110,ABX
-33.378,-70.5794,3b52a7a1,101C2902,180,2204,1,,GLID,CC-TR21,1753017373,,,,,0,0,CCTR21,
47.6102,19.1452,3b52bd6e,10F74B20,315,410,3,,GLID,HA-5176,1753017375,,,,,0,0,HA5176,
49.9409,15.552,3b52e783,106F7F54,271,104,0,,GLID,LKPN7,1753017375,,,,,1,0,LKPN7,
50.4685,16.202,3b531aad,102BA105,88,1305,2,,GLID,OK-7231,1753017301,,,,,0,0,OK7231,
52.2713,16.2872,3b53238a,1024E2B0,77,5088,52,,GLID,SP-2831,1753017387,,,,,0,-512,SP2831,
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1753017384,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX
39.7122,-86.286,3b539f47,A1139F,315,0,0,,B763,N169FE,1753017386,PHX,IND,FX3629,FX,1,0,FDX3629,FDX
33.1747,-86.2968,3b5482d2,A27140,180,659,1,,GLID,N2568H,1753017378,,,,,0,0,N2568H,
42.5187,-71.3948,3b54ad7b,A287F3,89,301,2,,,N262RS,1753017353,,,,,0,0,N262RS,
33.638,-84.4203,3b54e724,A7615F,90,0,0,,A359,N575DZ,1753017383,JNB,ATL,DL201,DL,1,0,DAL201,DAL
39.0008,-119.7552,3b54f544,A68791,34,0,0,,NIMB,N52LB,1753017385,MEV,MEV,,,1,0,N52LB,
39.2533,26.7349,3b54fdae,000001,15,18050,150,,0000,00000000,1753017379,CII,,,,0,0,S48,
51.373,11.1483,3b551956,484E08,127,688,2,,DG1T,PH-1380,1753017371,,,,,0,0,PH1380,
42.3622,-71.0202,3b552fad,A04641,157,0,0,,A321,N117AN,1753017383,LAX,BOS,AA382,AA,1,0,AAL382,AAL
49.0817,12.2174,3b55361c,3DDC6F,40,2275,121,,EC45,D-HDSP,1753017386,,,CHX89,CH,0,0,CHX89,AMB
42.2109,13.8697,3b5536be,D00D14,333,6591,109,,GLID,D-KSTA,1753017381,,,,,0,256,DKSTA,
45.1222,-132.4223,3b555da0,80153F,122,38000,504,,B77L,VT-AEG,1753017384,DEL,SFO,AI173,AI,0,0,AIC173,AIC
22.3117,116.4372,3b555e06,78023E,268,31000,519,,B77W,B-KPR,1753017382,LAX,HKG,,,0,0,CPA883D,CPA
35.061,-89.9806,3b555e5f,AC1E56,89,0,0,,B77L,N880FD,1753017387,CGN,MEM,FX5225,FX,1,0,FDX5225,FDX
45.8723,-68.6271,3b55660a,8015F7,210,40000,419,,A359,VT-JRA,1753017386,DEL,JFK,AI101,AI,0,0,AIC101,AIC
33.9454,-118.4103,3b556d9d,A66935,261,0,0,,A359,N512DN,1753017382,SYD,LAX,DL40,DL,1,0,DAL40,DAL
25.2487,-78.9856,3b556fd9,896453,281,21950,417,,B77W,A6-EQD,1753017387,DXB,MIA,EK213,EK,0,-896,UAE213,UAE
35.2404,-94.4325,3b557222,06A12E,221,40000,490,,A35K,A7-ANR,1753017387,DOH,DFW,QR731,QR,0,0,QTR16C,QTR
38.9602,-77.457,3b55791a,06A0EB,180,0,8,,A359,A7-AML,1753017386,DOH,IAD,QR709,QR,1,0,QTR8A,QTR
30.538,-72.6628,3b558471,89617B,255,36000,507,,B77W,A6-EGC,1753017384,DXB,MCO,EK219,EK,0,0,UAE2J,UAE
-23.3036,-46.5246,3b5587ce,06A066,303,10575,262,,B77L,A7-BBA,1753017386,DOH,GRU,QR779,QR,0,-1152,QTR779,QTR
44.8814,-93.2128,3b558808,A641B6,47,0,0,,A359,N502DN,1753017386,DTW,MSP,DL1303,DL,1,0,DAL1303,DAL
51.0963,-152.8081,3b558a4a,76CD46,92,40000,486,,A359,9V-SJF,1753017384,SIN,SFO,SQ32,SQ,0,0,SIA32,SIA
37.6047,-93.3651,3b558c06,896452,204,38000,478,,B77W,A6-EQC,1753017386,DXB,DFW,EK221,EK,0,0,UAE221,UAE
-28.2616,12.7938,3b558d9f,A2CB32,141,38975,550,,B789,N27964,1753017386,IAD,CPT,UA1011,UA,0,-64,UAL1011,UAL
32.9138,45.6595,3b558f3a,06A129,158,37000,508,,A35K,A7-ANM,1753017386,SFO,DOH,QR738,QR,0,0,QTR25C,QTR
34.6444,45.0001,3b5592a1,06A11D,162,39000,489,,A35K,A7-ANA,1753017387,LAX,DOH,QR740,QR,0,-64,QTR44B,QTR
25.3097,51.4445,3b559399,06A0DB,157,12750,318,,B77L,A7-BBI,1753017386,GRU,DOH,QR780,QR,0,-2752,QTR780,QTR
-22.5581,-165.0003,3b5593d7,7C8070,226,40000,420,,B789,VH-ZNM,1753017384,JFK,AKL,QF4,QF,0,0,QFA4,QFA
27.4695,50.1673,3b559436,06A2C4,145,27125,490,,B77W,A7-BEU,1753017386,SEA,DOH,QR720,QR,0,-1024,QTR28V,QTR
37.4104,27.2716,3b559457,000687,65,16025,96,,0000,00000000,1753017386,DLM,,,,0,0,VATOZ06,
27.56,50.0977,3b559474,06A125,145,30325,451,,A35K,A7-ANI,1753017386,DFW,DOH,QR730,QR,0,-1472,QTR5J,QTR
26.6871,50.8344,3b559567,06A11E,140,24925,467,,A35K,A7-ANB,1753017386,IAH,DOH,QR714,QR,0,-1408,QTR31J,QTR
33.9502,-118.2571,3b55966c,A31A96,262,2125,184,,B789,N29991,1753017386,SYD,LAX,UA842,UA,0,-1024,UAL842,UAL
40.574,-73.5788,3b5596da,8964E3,327,2525,226,,A388,A6-EVL,1753017387,DXB,JFK,EK203,EK,0,-1280,UAE8ER,UAE
38.7341,-77.3619,3b5597a4,89618A,192,3025,198,,A388,A6-EEK,1753017386,DXB,IAD,EK231,EK,0,-128,UAE3MX,UAE
-27.7458,1.6618,3b559851,A69822,117,41000,554,,A359,N524DN,1753017384,ATL,CPT,DL210,DL,0,0,DAL210,DAL
43.6825,-79.623,3b559874,7608F9,129,0,4,,B77L,AP-BGY,1753017386,LHE,YYZ,PK797,PK,1,0,PIA797,PIA
33.1464,-118.7386,3b559a20,A2A3B6,56,16525,376,,B789,N26967,1753017387,MEL,LAX,UA99,UA,0,-2176,UAL99,UAL
25.123,51.5273,3b559b5e,06A120,158,6275,280,,A35K,A7-AND,1753017386,MIA,DOH,QR778,QR,0,-1024,QTR778,QTR
37.8023,58.575,3b559e43,8964B6,243,40000,467,,A388,A6-EVH,1753017387,LAX,DXB,EK216,EK,0,0,UAE37V,UAE
-30.4481,32.0793,3b559fca,7C492A,314,36000,441,,A388,VH-OQK,1753017386,SYD,JNB,QF63,QF,0,0,QFA63,QFA
42.9124,-86.2005,3b55a072,896597,236,23050,376,,A35K,A6-XWB,1753017386,AUH,ORD,EY9,EY,0,-1728,ETD93C,ETD
55.4132,-4.1423,3b55a0b4,407798,149,39000,465,,A35K,G-XWBB,1753017386,HND,LHR,BA8,BA,0,0,BAW8,BAW
56.1035,5.7099,3b55a0e2,3965B3,175,37000,447,,B77W,F-GZNT,1753017386,HND,CDG,AF187,AF,0,0,AFR187,AFR
47.4466,-122.2997,3b55a1c9,A4DD65,160,0,0,,A21N,N412UW,1753017386,MIA,SEA,AA3252,AA,1,0,AAL3252,AAL
43.6734,-79.6108,3b55a229,896190,233,0,15,,A388,A6-EEQ,1753017386,DXB,YYZ,EK241,EK,1,0,UAE30Y,UAE
32.4068,-119.9892,3b55a45b,7C8071,54,38150,479,,B789,VH-ZNN,1753017385,MEL,LAX,QF93,QF,0,-2304,QFA93,QFA
45.0776,25.1522,3b55a782,71C209,299,36000,432,,B77W,HL8209,1753017387,ICN,FRA,KE945,KE,0,0,KAL945,KAL
39.9676,59.1114,3b55ad8e,896472,196,40000,472,,A388,A6-EUH,1753017386,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
31.6074,56.9885,3b55ae73,8964A3,181,37000,484,,B77W,A6-EQK,1753017384,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
37.3809,-122.3317,3b55af0e,AA92FB,73,7950,269,,B772,N78004,1753017386,SYD,SFO,UA870,UA,0,64,UAL870,UAL
41.9355,124.0497,3b55afbc,781FC4,209,36125,431,,B77L,B-223S,1753017386,JFK,PVG,CA1078,CA,0,0,CAO1078,CAO
35.2084,44.2209,3b55b00e,8964A0,155,35000,498,,B77W,A6-EQH,1753017386,ORD,DXB,EK236,EK,0,0,UAE5WR,UAE
37.98,123.3077,3b55b144,78007F,177,35100,486,,B744,B-2476,1753017384,ORD,PVG,CAO1018,CA,0,64,CAO1018,CAO
34.3727,71.6309,3b55b27b,C0174D,193,37000,473,,B77L,C-FIVK,1753017386,YYZ,DEL,AC42,AC,0,0,ACA42,ACA
