latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
39.1054,-104.5906,3a3e4634,A27330,108,58000,3,,BALL,N257TH,1752999709,,,,,0,128,HBAL732,
-33.378,-70.5791,3a9f267b,10C32270,180,2437,1,,GLID,RPT-1,1752999709,,,,,0,512,RPT1,
45.808,8.7723,3a9f26a5,DF0862,180,793,0,,GRND,,1752999654,,,,,0,0,LILC,
36.9168,-4.6831,3a9f26d1,108E20F0,180,1453,1,,GLID,EGC19-4,1752999652,,,,,0,0,EGC194,
43.4697,-96.797,3b0eacaf,A26F79,90,58400,9,,BALL,N256TH,1752999709,,,,,0,0,HBAL756,
50.4239,9.199,3b434aa5,DD98AC,271,1056,5,,GLID,TEST,1752999698,,,,,0,0,TEST,
44.2829,5.9305,3b4e5cb8,DDE2CC,89,1751,4,,GLID,OY-PXF,1752999654,,,,,0,0,OYPXF,
35.0595,-89.9564,3b522ec9,A17B40,89,0,0,,B763,N195FE,1752999705,YMX,MEM,FX131,FX,1,0,FDX131,FDX
39.0321,-84.6507,3b5274d7,A1DB3A,89,0,0,,B763,N219CY,1752999709,ATL,CVG,GB110,GB,1,0,ABX110,ABX
51.6213,17.6311,3b528a72,48D2F1,68,2025,76,,SD4,SP-WYS,1752999708,,,,,0,0,SPWYS,
47.6104,19.1444,3b52bd6e,10F74B20,298,419,4,,GLID,HA-5176,1752999700,,,,,0,0,HA5176,
44.2832,23.7933,3b52deac,D00CB9,288,232,1,,GLID,YR-1103,1752999687,,,,,0,0,YR1103,
55.8866,12.2217,3b531468,DDEA32,180,32,0,,GLID,OY-KBX,1752999693,,,,,1,0,OYKBX,
50.4684,16.202,3b531aad,102BA105,89,1302,1,,GLID,OK-7231,1752999696,,,,,0,0,OK7231,
37.7166,-122.2185,3b531e8c,A8259B,137,0,0,,MD11,N624FE,1752999705,MEM,OAK,FX5044,FX,1,0,FDX5044,FDX
55.4515,11.642,3b532fe3,DDEF00,154,104,0,,GLID,OY-XZC,1752999710,,,,,1,0,OYXZC,
39.7115,-86.2841,3b5367d9,A295C9,135,0,0,,B763,N266FE,1752999709,FLL,IND,FX3645,FX,1,0,FDX3645,FDX
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1752999709,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX
44.3101,4.6932,3b539653,DD4F9E,89,150,3,,GLID,D-8995,1752999650,,,,,0,0,D8995,
39.7122,-86.286,3b539f47,A1139F,315,0,0,,B763,N169FE,1752999708,PHX,IND,FX3629,FX,1,0,FDX3629,FDX
1.361,103.9853,3b53e1e3,76CCE1,104,0,12,,A359,9V-SGA,1752999709,EWR,SIN,SQ21,SQ,1,0,SIA21,SIA
47.9169,-86.2591,3b545f38,76CCE4,137,41000,562,,A359,9V-SGD,1752999708,SIN,EWR,SQ22,SQ,0,64,SIA22,SIA
33.1744,-86.2966,3b5482d2,A27140,143,721,1,,GLID,N2568H,1752999700,,,,,0,-192,N2568H,
53.2904,18.329,3b5487c8,488062,72,3600,82,,P06T,SP-ADC,1752999708,,,,,0,256,SPADC,
23.9989,90.741,3b549b07,801538,283,36000,518,,B77L,VT-AEE,1752999709,SFO,DEL,AI174,AI,0,64,AIC174,AIC
-34.8131,-58.5373,3b54a1c5,E07246,244,0,0,,A332,LV-GIF,1752999707,MAD,EZE,AR1133,AR,1,0,ARG1133,ARG
1.1697,104.8134,3b54ac20,76CD41,283,14875,307,,A359,9V-SJA,1752999709,SEA,SIN,SQ27,SQ,0,-3008,SIA27,SIA
37.4678,126.4283,3b54ad04,71C007,53,0,3,,B77W,HL8007,1752999705,BOS,ICN,KE92,KE,1,0,KAL092,KAL
42.5187,-71.3947,3b54ad7b,A287F3,180,301,1,,,N262RS,1752999687,,,,,0,0,N262RS,
42.3623,-71.0245,3b54b27f,A9ACB8,272,0,0,,B752,N722TW,1752999708,LAX,BOS,DL2130,DL,1,0,DAL2130,DAL
37.5266,126.3965,3b54b2f8,71BA03,144,1100,144,,B77W,HL7203,1752999709,IAD,ICN,KE94,KE,0,-768,KAL094,KAL
37.4435,126.3674,3b54b6b5,71BE19,275,7375,250,,A388,HL7619,1752999709,JFK,ICN,KE82,KE,0,-2368,KAL082,KAL
-33.855,151.0199,3b54b709,769104,321,5700,287,,B77L,9V-DHD,1752999709,LAX,SYD,SQ7443,SQ,0,-704,SIA7443,DHK
47.8568,-75.3033,3b54b7d7,C023AA,214,36000,423,,B77L,C-FNND,1752999709,DEL,YYZ,AC43,AC,0,0,ACA43,ACA
39.3477,-73.2931,3b54b891,A43100,312,10525,346,,B789,N36962,1752999709,CPT,EWR,UA2222,UA,0,-512,UAL2222,UAL
5.1029,115.5819,3b54c646,A47FDE,252,40000,530,,B789,N38955,1752999709,SFO,SIN,UA29,UA,0,-64,UAL29,UAL
35.2125,114.9154,3b54cc09,780654,184,38100,480,,B77L,B-2081,1752999709,JFK,CAN,CSG2546,CS,0,0,CSG2546,CSG
48.8577,-70.298,3b54cde2,AB5FC9,206,39975,457,,B789,N832AA,1752999709,DEL,JFK,AA293,AA,0,0,AAL293,AAL
49.2724,-67.845,3b54d406,A31A7B,220,40000,435,,B789,N29989,1752999709,DEL,EWR,UA83,UA,0,0,UAL83,UAL
36.0362,132.6524,3b54d86b,71C044,262,36000,472,,B77L,HL8044,1752999709,JFK,ICN,KE250,KE,0,0,KAL250,KAL
51.9673,13.4957,3b54df77,3E1211,324,1400,125,,EC45,D-HYAR,1752999708,DRS,,CHX71,CH,0,-256,CHX71,CHX
40.769,-73.8585,3b54e2ab,A013EE,132,0,0,,BCS1,N104DU,1752999700,ORD,LGA,DL2894,DL,1,0,DAL2894,DAL
22.3063,113.8348,3b54e4aa,78929C,70,1600,138,,A333,B-LHR,1752999709,YVR,HKG,HX81,HX,0,-768,CRK081,CRK
36.8532,142.2607,3b54e71e,A6456D,204,37050,516,,A359,N503DN,1752999709,DTW,HND,DL275,DL,0,-1024,DAL275,DAL
26.6877,-57.0486,3b54e724,A7615F,294,41004,487,,A359,N575DZ,1752999709,JNB,ATL,DL201,DL,0,0,DAL201,DAL
35.5451,139.7758,3b54e83a,8418B4,329,0,0,,A35K,JA06WJ,1752999704,LHR,HND,JL44,JL,1,0,JAL44,JAL
7.7152,114.1881,3b54e971,76CD48,233,40000,536,,A359,9V-SJH,1752999705,SFO,SIN,SQ31,SQ,0,0,SIA31,SIA
34.3741,23.6655,3b54ebf9,46FBEA,131,3650,73,,HRON,UC-02,1752999709,,,,,0,0,UC02,
47.1687,-89.6374,3b54ec3b,78926A,129,39000,578,,A35K,B-LXQ,1752999708,HKG,JFK,CX844,CX,0,0,CPA844,CPA
35.6688,114.9577,3b54eee0,789213,184,40100,490,,A35K,B-LXA,1752999709,JFK,HKG,CX841,CX,0,64,CPA841,CPA
13.6817,100.7476,3b54f15d,3A3493,14,0,0,,A339,F-ONET,1752999709,CDG,BKK,SB501,SB,1,0,ACI501,ACI
0.1562,33.1322,3b54f1ac,04C11A,113,41000,446,,B788,5Y-KZD,1752999709,JFK,NBO,KQ3,KQ,0,0,KQA003,KQA
24.2846,54.9234,3b54f1c7,89648A,199,5675,223,,B789,A6-BLJ,1752999705,MEL,AUH,EY463,EY,0,-1216,ETD6NR,ETD
39.0008,-119.7552,3b54f544,A68791,271,0,0,,NIMB,N52LB,1752999708,MEV,MEV,,,1,0,N52LB,
23.996,57.258,3b54fc09,896475,307,34350,515,,A388,A6-EUK,1752999709,MEL,DXB,EK409,EK,0,-2688,UAE67M,UAE
35.5486,139.7733,3b54fc10,C0173A,329,0,20,,B77W,C-FIUR,1752999709,YYZ,HND,AC1,AC,1,0,ACA1,ACA
37.6065,27.5772,3b54fdae,000001,57,18075,96,,0000,00000000,1752999686,CII,,,,0,0,S48,
61.1791,-149.9953,3b54fdf5,71C045,89,0,0,,B77L,HL8045,1752999709,ICN,ANC,KE273,KE,1,0,KAL273,KAL
39.4599,-58.3847,3b550046,A2F2FA,295,40016,455,,B789,N28987,1752999709,JNB,EWR,UA187,UA,0,0,UAL187,UAL
23.4201,61.4364,3b550055,800584,98,33000,477,,B77W,VT-ALU,1752999709,YYZ,DEL,AI188,AI,0,0,AIC188,AIC
-31.4194,-56.8936,3b550738,4851AF,201,38000,479,,B789,PH-BHD,1752999708,AMS,EZE,KL701,KL,0,-64,KLM701,KLM
23.3253,97.5774,3b5507b8,8003E2,259,36000,540,,B77W,VT-ALJ,1752999709,YVR,CCU,AI186,AI,0,0,AIC186,AIC
43.1626,-73.2503,3b550870,A1C82A,206,22900,469,,B77W,N2138U,1752999709,DXB,EWR,UA3048,UA,0,-2048,UAL163D,UAL
49.8629,9.2872,3b5508c6,3C4B2C,315,8200,326,,B748,D-ABYL,1752999709,EZE,FRA,LH511,LH,0,-1536,DLH511,DLH
40.646,-73.7724,3b550969,AA589C,163,0,0,,A320,N766JB,1752999707,SJO,JFK,B61794,B6,1,0,JBU1794,JBU
35.9817,140.4235,3b5509cc,8466C7,292,5950,226,,B748,JA13KZ,1752999709,DFW,NRT,KZ173,KZ,0,-256,NCA173,NCA
1.5072,104.1795,3b550df3,76CD73,350,4400,205,,A388,9V-SKS,1752999709,LHR,SIN,SQ319,SQ,0,-512,SIA319,SIA
-22.6773,150.5716,3b550e33,7CFB07,287,7975,40,,,,1752999709,,,,,0,0,SPYRO02,
1.5184,104.049,3b550e77,3965B0,202,2725,179,,B77W,F-GZNQ,1752999709,CDG,SIN,AF256,AF,0,0,AFR256,AFR
25.3795,121.6365,3b550f29,899032,277,14300,335,,B77W,B-16729,1752999709,LAX,TPE,BR5,BR,0,-1344,EVA005,EVA
36.2452,139.45,3b5510c7,8990A4,234,32000,484,,B77L,B-18772,1752999709,ORD,NGO,CI5313,CI,0,0,CAL5313,CAL
16.1721,108.5699,3b5513f8,8963F0,56,37000,475,,A388,A6-EOS,1752999709,DXB,TPE,EK366,EK,0,0,UAE366,UAE
41.0508,28.7117,3b55156e,4BA94A,357,3075,196,,B77W,TC-JJJ,1752999709,SFO,IST,TK290,TK,0,128,THY4MS,THY
21.1356,65.9604,3b5519b4,89655B,296,40000,529,,A388,A6-EVO,1752999691,SYD,DXB,EK415,EK,0,0,UAE1DP,UAE
31.0704,121.9688,3b5519de,A2CB13,34,6075,267,,B789,N27958,1752999694,LAX,PVG,UA198,UA,0,64,UAL198,UAL
-23.4263,-46.4714,3b551a66,3C4B2F,64,0,7,,B748,D-ABYO,1752999709,FRA,EZE,LH510,LH,1,0,DLH510,DLH
1.5896,103.0933,3b551bd8,7C4928,138,33075,480,,A388,VH-OQI,1752999709,LHR,SIN,QF2,QF,0,-1536,QFA2,QFA
39.038,117.1832,3b551c38,7813C2,322,17700,365,,B77W,B-1282,1752999702,SFO,PEK,CA986,CA,0,0,CCA986,CCA
25.0056,121.1533,3b551f43,8990D6,49,2075,175,,B77W,B-16707,1752999706,SFO,TPE,BR7,BR,0,-1024,EVA007,EVA
47.24,115.4008,3b5520b6,780A89,184,36000,481,,B77W,B-KQU,1752999709,JFK,HKG,CX831,CX,0,0,CPA831,CPA
57.6132,-52.4977,3b552140,8015A8,240,34000,472,,B77W,VT-AEN,1752999709,BOM,EWR,AI191,AI,0,0,AIC191,AIC
40.076,-100.3093,3b552231,A6A303,56,8150,111,,SR20,N527AV,1752999709,ABQ,,VAR527,VA,0,320,VAR527,VAR
-33.7492,151.0459,3b5523f1,800742,77,3650,216,,B788,VT-NAC,1752999709,DEL,SYD,AI302,AI,0,-640,AIC302,AIC
5.6498,97.7825,3b552422,406F74,123,41000,473,,B789,G-ZBKH,1752999709,LHR,KUL,BA33,BA,0,0,BAW33,BAW
44.8555,22.7466,3b5525a4,4BB189,136,36975,511,,B789,TC-LLI,1752999709,LAX,IST,TK180,TK,0,-64,THY12E,THY
57.6828,-51.297,3b552743,80159F,245,36000,479,,B77W,VT-AEP,1752999709,BOM,JFK,AI119,AI,0,0,AIC119,AIC
39.0579,-10.3801,3b55285f,E80200,75,40000,540,,B788,CC-BBH,1752999709,SCL,MAD,LA708,LA,0,-64,LAN708,LAN
19.4245,-99.0781,3b5528b7,0D0BBA,208,0,0,,B789,XA-MFG,1752999705,AMS,MEX,AM26,AM,1,0,AMX026,AMX
48.2692,115.4053,3b55294b,789218,184,38000,494,,A35K,B-LXF,1752999709,YYZ,HKG,CX805,CX,0,0,CPA805,CPA
7.2961,96.8404,3b552a55,406F77,117,40975,465,,B789,G-ZBKK,1752999709,LHR,SIN,BA15,BA,0,-64,BAW15,BAW
2.852,103.7008,3b552a75,3C4A8C,124,34050,398,,B744,D-ABTL,1752999709,FRA,SIN,LH780,LH,0,-1536,DLH780,DLH
23.7426,109.2495,3b552ac8,899160,102,41000,450,,A359,B-18912,1752999709,LHR,TPE,CI82,CI,0,0,CAL082,CAL
36.8014,138.1395,3b552e06,3C70C9,81,35000,494,,B77L,D-ALFI,1752999709,FRA,NRT,LH8382,LH,0,0,GEC8382,GEC
45.3724,126.2022,3b552f6b,780F3A,189,32100,445,,B77W,B-7347,1752999692,YYZ,PVG,MU208,MU,0,0,CES208,CES
42.3728,-71.0225,3b552fad,A04641,165,0,0,,A321,N117AN,1752999707,LAX,BOS,AA382,AA,1,0,AAL382,AAL
45.779,126.4678,3b55307a,781160,248,36100,411,,B77W,B-1430,1752999691,YYZ,PEK,CA994,CA,0,0,CCA994,CCA
-28.1706,-48.8998,3b5530a8,4CAD49,228,40000,445,,A359,EI-IFF,1752999709,FCO,EZE,AZ680,AZ,0,0,ITY680,ITY
31.6398,120.2967,3b55327c,781F29,118,39100,490,,A359,B-32DJ,1752999709,MAD,WNZ,MU262,MU,0,0,CES262,CES
32.8899,-97.0353,3b5532ab,A379D3,286,0,1,,BCS3,N323DU,1752999705,BOS,DFW,DL2251,DL,1,0,DAL2251,DAL
51.3513,12.9345,3b553487,3C4599,288,8200,280,,B77L,D-AALY,1752999709,PVG,LEJ,3S571,3S,0,-1344,BOX571,DHK
8.009,97.9358,3b55350a,75044B,112,41025,468,,A359,9M-MAD,1752999709,LHR,KUL,MH1,MH,0,0,MAS1,MAS
37.7159,-122.2196,3b5537cb,A008ED,137,0,0,,B763,N101FE,1752999707,IND,OAK,FX3707,FX,1,0,FDX3707,FDX
47.7411,4.726,3b553802,800583,266,26075,329,,B77W,VT-ALT,1752999709,DEL,CDG,AI147,AI,0,-2688,AIC147,AIC
52.5702,166.2151,3b55381e,86953E,240,35000,462,,B77W,JA794A,1752999706,ORD,HND,NH111,NH,0,0,ANA111,ANA
-36.3521,144.2933,3b553a36,800740,147,24250,396,,B788,VT-ANZ,1752999709,DEL,MEL,AI308,AI,0,-1472,AIC308,AIC
54.2984,103.2313,3b553c18,780A29,157,39000,504,,B748,B-LJG,1752999709,JFK,HKG,CX95,CX,0,0,CPA095,CPA
36.5094,130.9597,3b553c41,394A0A,109,37000,503,,B77W,F-GSQK,1752999709,CDG,HND,AF274,AF,0,-64,AFR274,AFR
5.1095,99.8814,3b553d7d,76CD44,142,37000,503,,A359,9V-SJD,1752999709,CDG,SIN,SQ337,SQ,0,0,SIA337,SIA
-23.4735,-46.6245,3b553dea,4B1917,99,4200,181,,B77W,HB-JNB,1752999709,ZRH,GRU,LX92,LX,0,-640,SWR92,SWR
-23.3418,-46.6429,3b553e95,4CADC7,235,8600,283,,A339,EI-HJO,1752999709,FCO,GRU,AZ674,AZ,0,-2752,ITY674,ITY
34.0188,-118.4077,3b553f83,A98C7A,78,6575,247,,B77L,N714SA,1752999709,PVG,LAX,PO992,PO,0,-1024,PAC992,DHK
-12.8641,-68.047,3b553fc0,406F7C,182,38975,531,,B789,G-ZBKP,1752999709,LHR,SCL,BA251,BA,0,-64,BAW251,BAW
