latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
39.1059,-104.594,3a3e4634,A27330,98,57900,7,,BALL,N257TH,1752999609,,,,,0,64,HBAL732,
-33.3779,-70.5791,3a9f267b,10C32270,90,2355,2,,GLID,RPT-1,1752999594,,,,,0,-192,RPT1,
45.808,8.7723,3a9f26a5,DF0862,180,793,0,,GRND,,1752999595,,,,,0,0,LILC,
43.4696,-96.8039,3b0eacaf,A26F79,90,58400,11,,BALL,N256TH,1752999609,,,,,0,0,HBAL756,
50.4239,9.1991,3b434aa5,DD98AC,271,1059,5,,GLID,TEST,1752999592,,,,,0,0,TEST,
44.2829,5.9305,3b4e5cb8,DDE2CC,89,1751,4,,GLID,OY-PXF,1752999596,,,,,0,0,OYPXF,
35.0595,-89.9564,3b522ec9,A17B40,89,0,0,,B763,N195FE,1752999610,YMX,MEM,FX131,FX,1,0,FDX131,FDX
39.0321,-84.6507,3b5274d7,A1DB3A,89,0,0,,B763,N219CY,1752999609,ATL,CVG,GB110,GB,1,0,ABX110,ABX
51.607,17.5762,3b528a72,48D2F1,59,2225,88,,SD4,SP-WYS,1752999608,,,,,0,0,SPWYS,
47.6074,19.144,3b52bd6e,10F74B20,116,711,52,,GLID,HA-5176,1752999605,,,,,0,-192,HA5176,
44.2832,23.7933,3b52deac,D00CB9,288,232,1,,GLID,YR-1103,1752999599,,,,,0,0,YR1103,
55.8866,12.2217,3b531468,DDEA32,180,32,0,,GLID,OY-KBX,1752999593,,,,,1,0,OYKBX,
50.4684,16.202,3b531aad,102BA105,89,1305,1,,GLID,OK-7231,1752999544,,,,,0,0,OK7231,
37.7166,-122.2185,3b531e8c,A8259B,137,0,0,,MD11,N624FE,1752999609,MEM,OAK,FX5044,FX,1,0,FDX5044,FDX
55.4516,11.6421,3b532fe3,DDEF00,154,104,0,,GLID,OY-XZC,1752999594,,,,,1,0,OYXZC,
39.7115,-86.2841,3b5367d9,A295C9,135,0,0,,B763,N266FE,1752999598,FLL,IND,FX3645,FX,1,0,FDX3645,FDX
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1752999608,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX
44.3101,4.6932,3b539653,DD4F9E,89,150,3,,GLID,D-8995,1752999598,,,,,0,0,D8995,
39.7122,-86.286,3b539f47,A1139F,315,0,0,,B763,N169FE,1752999608,PHX,IND,FX3629,FX,1,0,FDX3629,FDX
1.3553,103.9818,3b53e1e3,76CCE1,109,0,13,,A359,9V-SGA,1752999607,EWR,SIN,SQ21,SQ,1,0,SIA21,SIA
48.1067,-86.5155,3b545f38,76CCE4,137,41000,559,,A359,9V-SGD,1752999609,SIN,EWR,SQ22,SQ,0,0,SIA22,SIA
33.1747,-86.2964,3b5482d2,A27140,271,524,1,,GLID,N2568H,1752999591,,,,,0,64,N2568H,
23.944,90.9944,3b549b07,801538,283,36000,516,,B77L,VT-AEE,1752999609,SFO,DEL,AI174,AI,0,0,AIC174,AIC
-34.8131,-58.5373,3b54a1c5,E07246,244,0,0,,A332,LV-GIF,1752999609,MAD,EZE,AR1133,AR,1,0,ARG1133,ARG
1.1325,104.9551,3b54ac20,76CD41,284,16875,330,,A359,9V-SJA,1752999609,SEA,SIN,SQ27,SQ,0,-1152,SIA27,SIA
37.4696,126.425,3b54ad04,71C007,143,0,10,,B77W,HL8007,1752999599,BOS,ICN,KE92,KE,1,0,KAL092,KAL
42.5187,-71.3948,3b54ad7b,A287F3,180,301,1,,,N262RS,1752999598,,,,,0,0,N262RS,
42.3623,-71.0245,3b54b27f,A9ACB8,272,0,0,,B752,N722TW,1752999607,LAX,BOS,DL2130,DL,1,0,DAL2130,DAL
37.4677,126.4378,3b54b2c8,A64CDB,351,0,0,,A359,N505DN,1752999605,MSP,ICN,DL171,DL,1,0,DAL171,DAL
37.5913,126.3386,3b54b2f8,71BA03,143,2550,199,,B77W,HL7203,1752999609,IAD,ICN,KE94,KE,0,-1024,KAL094,KAL
37.4315,126.5292,3b54b6b5,71BE19,274,9125,323,,A388,HL7619,1752999609,JFK,ICN,KE82,KE,0,-832,KAL082,KAL
-33.9357,151.1404,3b54b709,769104,278,6750,288,,B77L,9V-DHD,1752999608,LAX,SYD,SQ7443,SQ,0,0,SIA7443,DHK
48.0197,-75.1377,3b54b7d7,C023AA,214,35975,427,,B77L,C-FNND,1752999609,DEL,YYZ,AC43,AC,0,0,ACA43,ACA
39.2314,-73.1257,3b54b891,A43100,311,13450,401,,B789,N36962,1752999609,CPT,EWR,UA2222,UA,0,-2560,UAL2222,UAL
5.1793,115.8164,3b54c646,A47FDE,252,40000,532,,B789,N38955,1752999609,SFO,SIN,UA29,UA,0,0,UAL29,UAL
35.433,114.9368,3b54cc09,780654,184,38100,479,,B77L,B-2081,1752999609,JFK,CAN,CSG2546,CS,0,0,CSG2546,CSG
49.0442,-70.1371,3b54cde2,AB5FC9,207,40000,458,,B789,N832AA,1752999609,DEL,JFK,AA293,AA,0,0,AAL293,AAL
49.4406,-67.6608,3b54d406,A31A7B,221,40000,437,,B789,N29989,1752999608,DEL,EWR,UA83,UA,0,0,UAL83,UAL
