latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
39.1802,-104.4038,3a3e4634,A27330,153,57800,4,,BALL,N257TH,1753017430,,,,,0,0,HBAL732,
-33.3779,-70.5791,3a9f267b,10C32270,90,2306,1,,GLID,RPT-1,1753017422,,,,,0,-128,RPT1,
45.8081,8.7723,3a9f26a5,DF0862,180,780,0,,GRND,,1753017393,,,,,0,0,LILC,
43.3266,-96.6021,3b0eacaf,A26F79,299,59700,8,,BALL,N256TH,1753017431,,,,,0,64,HBAL756,
50.424,9.1988,3b434aa5,DD98AC,309,1036,1,,GLID,TEST,1753017399,,,,,0,0,TEST,
35.0595,-89.9564,3b522ec9,A17B40,271,0,0,,B763,N195FE,1753017429,YMX,MEM,FX131,FX,1,0,FDX131,FDX
39.0321,-84.6507,3b5274d7,A1DB3A,89,0,0,,B763,N219CY,1753017432,ATL,CVG,GB110,GB,1,0,ABX110,ABX
-33.378,-70.5794,3b52a7a1,101C2902,242,2181,1,,GLID,CC-TR21,1753017424,,,,,0,-64,CCTR21,
47.6102,19.1452,3b52bd6e,10F74B20,315,410,3,,GLID,HA-5176,1753017375,,,,,0,0,HA5176,
49.9409,15.552,3b52e783,106F7F54,271,104,0,,GLID,LKPN7,1753017375,,,,,1,0,LKPN7,
52.277,16.2912,3b53238a,1024E2B0,8,5390,60,,GLID,SP-2831,1753017431,,,,,0,0,SP2831,
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1753017429,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX
39.7122,-86.286,3b539f47,A1139F,315,0,0,,B763,N169FE,1753017431,PHX,IND,FX3629,FX,1,0,FDX3629,FDX
33.1747,-86.2968,3b5482d2,A27140,180,675,1,,GLID,N2568H,1753017391,,,,,0,64,N2568H,
42.5187,-71.3948,3b54ad7b,A287F3,89,301,2,,,N262RS,1753017353,,,,,0,0,N262RS,
33.638,-84.4203,3b54e724,A7615F,90,0,0,,A359,N575DZ,1753017427,JNB,ATL,DL201,DL,1,0,DAL201,DAL
39.0008,-119.7552,3b54f544,A68791,34,0,0,,NIMB,N52LB,1753017427,MEV,MEV,,,1,0,N52LB,
39.2602,26.7596,3b54fdae,000001,53,18050,130,,0000,00000000,1753017426,CII,,,,0,-1408,S48,
51.373,11.1482,3b551956,484E08,127,708,2,,DG1T,PH-1380,1753017429,,,,,0,0,PH1380,
42.3622,-71.0202,3b552fad,A04641,157,0,0,,A321,N117AN,1753017418,LAX,BOS,AA382,AA,1,0,AAL382,AAL
49.0968,12.237,3b55361c,3DDC6F,41,2250,123,,EC45,D-HDSP,1753017427,,,CHX89,CH,0,192,CHX89,AMB
42.2345,13.853,3b5536be,D00D14,336,6358,100,,GLID,D-KSTA,1753017424,,,,,0,0,DKSTA,
56.7126,13.7988,3b554b31,DDDB26,139,7027,40,,GLID,SE-UUZ,1753017431,,,,,0,320,SEUUZ,
45.0671,-132.2971,3b555da0,80153F,122,38000,504,,B77L,VT-AEG,1753017429,DEL,SFO,AI173,AI,0,0,AIC173,AIC
22.3097,116.3526,3b555e06,78023E,268,31000,521,,B77W,B-KPR,1753017410,LAX,HKG,,,0,0,CPA883D,CPA
35.061,-89.9805,3b555e5f,AC1E56,352,0,0,,B77L,N880FD,1753017432,CGN,MEM,FX5225,FX,1,0,FDX5225,FDX
45.7974,-68.6908,3b55660a,8015F7,210,40000,415,,A359,VT-JRA,1753017431,DEL,JFK,AI101,AI,0,0,AIC101,AIC
33.9454,-118.4103,3b556d9d,A66935,261,0,0,,A359,N512DN,1753017430,SYD,LAX,DL40,DL,1,0,DAL40,DAL
25.2663,-79.077,3b556fd9,896453,281,21300,415,,B77W,A6-EQD,1753017430,DXB,MIA,EK213,EK,0,-896,UAE213,UAE
35.1652,-94.5143,3b557222,06A12E,221,40000,491,,A35K,A7-ANR,1753017431,DOH,DFW,QR731,QR,0,0,QTR16C,QTR
38.9577,-77.4571,3b55791a,06A0EB,180,0,15,,A359,A7-AML,1753017431,DOH,IAD,QR709,QR,1,0,QTR8A,QTR
30.515,-72.7628,3b558471,89617B,255,36000,507,,B77W,A6-EGC,1753017429,DXB,MCO,EK219,EK,0,0,UAE2J,UAE
-23.2741,-46.5734,3b5587ce,06A066,303,9725,260,,B77L,A7-BBA,1753017430,DOH,GRU,QR779,QR,0,-960,QTR779,QTR
44.8814,-93.2128,3b558808,A641B6,47,0,0,,A359,N502DN,1753017427,DTW,MSP,DL1303,DL,1,0,DAL1303,DAL
51.084,-152.6063,3b558a4a,76CD46,90,40004,484,,A359,9V-SJF,1753017431,SIN,SFO,SQ32,SQ,0,0,SIA32,SIA
37.5136,-93.4167,3b558c06,896452,204,38000,480,,B77W,A6-EQC,1753017431,DXB,DFW,EK221,EK,0,0,UAE221,UAE
-28.3514,12.8745,3b558d9f,A2CB32,141,39000,550,,B789,N27964,1753017431,IAD,CPT,UA1011,UA,0,0,UAL1011,UAL
32.819,45.7138,3b558f3a,06A129,150,37000,507,,A35K,A7-ANM,1753017431,SFO,DOH,QR738,QR,0,64,QTR25C,QTR
34.5501,45.0368,3b5592a1,06A11D,161,39000,487,,A35K,A7-ANA,1753017430,LAX,DOH,QR740,QR,0,0,QTR44B,QTR
25.2495,51.4714,3b559399,06A0DB,158,11175,297,,B77L,A7-BBI,1753017431,GRU,DOH,QR780,QR,0,-1920,QTR780,QTR
-22.6184,-165.068,3b5593d7,7C8070,226,40000,420,,B789,VH-ZNM,1753017429,JFK,AKL,QF4,QF,0,0,QFA4,QFA
27.3873,50.2322,3b559436,06A2C4,143,27000,480,,B77W,A7-BEU,1753017431,SEA,DOH,QR720,QR,0,64,QTR28V,QTR
37.4104,27.2968,3b559457,000687,108,16025,106,,0000,00000000,1753017430,DLM,,,,0,-192,VATOZ06,
27.4841,50.156,3b559474,06A125,145,29550,456,,A35K,A7-ANI,1753017431,DFW,DOH,QR730,QR,0,-960,QTR5J,QTR
26.6136,50.9028,3b559567,06A11E,140,23875,462,,A35K,A7-ANB,1753017430,IAH,DOH,QR714,QR,0,-1408,QTR31J,QTR
33.9458,-118.3009,3b55966c,A31A96,263,1400,164,,B789,N29991,1753017431,SYD,LAX,UA842,UA,0,-768,UAL842,UAL
40.6142,-73.608,3b5596da,8964E3,349,2025,217,,A388,A6-EVL,1753017430,DXB,JFK,EK203,EK,0,64,UAE8ER,UAE
38.7154,-77.4006,3b5597a4,89618A,270,3025,175,,A388,A6-EEK,1753017431,DXB,IAD,EK231,EK,0,-384,UAE3MX,UAE
-27.7977,1.7772,3b559851,A69822,117,41000,554,,A359,N524DN,1753017429,ATL,CPT,DL210,DL,0,0,DAL210,DAL
43.6825,-79.6225,3b559874,7608F9,95,0,1,,B77L,AP-BGY,1753017431,LHE,YYZ,PK797,PK,1,0,PIA797,PIA
33.1895,-118.6654,3b559a20,A2A3B6,52,15900,357,,B789,N26967,1753017431,MEL,LAX,UA99,UA,0,0,UAL99,UAL
25.0695,51.5509,3b559b5e,06A120,155,5500,276,,A35K,A7-AND,1753017431,MIA,DOH,QR778,QR,0,-960,QTR778,QTR
37.7546,58.476,3b559e43,8964B6,233,40000,470,,A388,A6-EVH,1753017429,LAX,DXB,EK216,EK,0,0,UAE37V,UAE
-30.3827,32.0038,3b559fca,7C492A,315,36000,441,,A388,VH-OQK,1753017431,SYD,JNB,QF63,QF,0,0,QFA63,QFA
42.8687,-86.2892,3b55a072,896597,236,21775,371,,A35K,A6-XWB,1753017431,AUH,ORD,EY9,EY,0,-1536,ETD93C,ETD
55.3312,-4.0583,3b55a0b4,407798,149,39000,462,,A35K,G-XWBB,1753017430,HND,LHR,BA8,BA,0,-64,BAW8,BAW
56.01,5.7227,3b55a0e2,3965B3,175,37000,447,,B77W,F-GZNT,1753017431,HND,CDG,AF187,AF,0,0,AFR187,AFR
47.4466,-122.2998,3b55a1c9,A4DD65,160,0,0,,A21N,N412UW,1753017431,MIA,SEA,AA3252,AA,1,0,AAL3252,AAL
43.6729,-79.6128,3b55a229,896190,298,0,8,,A388,A6-EEQ,1753017431,DXB,YYZ,EK241,EK,1,0,UAE30Y,UAE
32.4659,-119.8908,3b55a45b,7C8071,54,36050,489,,B789,VH-ZNN,1753017431,MEL,LAX,QF93,QF,0,-2112,QFA93,QFA
45.1201,25.044,3b55a782,71C209,298,36000,433,,B77W,HL8209,1753017430,ICN,FRA,KE945,KE,0,0,KAL945,KAL
39.8734,59.0742,3b55ad8e,896472,196,40000,471,,A388,A6-EUH,1753017431,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
31.5071,56.9851,3b55ae73,8964A3,181,37000,484,,B77W,A6-EQK,1753017429,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
37.3963,-122.2651,3b55af0e,AA92FB,73,7825,262,,B772,N78004,1753017431,SYD,SFO,UA870,UA,0,-1216,UAL870,UAL
41.8585,123.992,3b55afbc,781FC4,209,36100,432,,B77L,B-223S,1753017430,JFK,PVG,CA1078,CA,0,0,CAO1078,CAO
35.1143,44.2723,3b55b00e,8964A0,156,35000,496,,B77W,A6-EQH,1753017431,ORD,DXB,EK236,EK,0,64,UAE5WR,UAE
37.8919,123.3132,3b55b144,78007F,177,35100,488,,B744,B-2476,1753017426,ORD,PVG,CAO1018,CA,0,0,CAO1018,CAO
34.2773,71.6032,3b55b27b,C0174D,193,37000,471,,B77L,C-FIVK,1753017431,YYZ,DEL,AC42,AC,0,0,ACA42,ACA
