IATA,Continent,Latitude,Longitude
YUX,North America,68.77610015869999,-81.2425
YUY,North America,48.20610046386719,-78.83560180664062
YVC,North America,55.1514015198,-105.262001038
YVG,North America,53.3558006287,-110.823997498
YVM,North America,67.5457992554,-64.03140258789999
YVO,North America,48.0532989502,-77.7827987671
YVP,North America,58.096099853515625,-68.4269027709961
YVQ,North America,65.28160095214844,-126.7979965209961
YVR,North America,49.193901062,-123.183998108
YVT,North America,55.8418998718,-108.417999268
YVV,North America,44.7458,-81.107201
YWA,North America,45.95220184326172,-77.31919860839844
YWG,North America,49.9099998474,-97.2398986816
YWK,North America,52.92190170288086,-66.8644027709961
YWL,North America,52.1831016541,-122.054000854
YWY,North America,63.20940017700195,-123.43699645996094
YXC,North America,49.610801696777,-115.78199768066
YXD,North America,53.5724983215,-113.521003723
YXE,North America,52.17079925537109,-106.6999969482422
YXH,North America,50.01890182495117,-110.72100067138672
YXJ,North America,56.23809814453125,-120.73999786376952
YXL,North America,50.11389923095703,-91.9052963256836
YXP,North America,66.1449966431,-65.71360015869999
YXR,North America,47.6974006546,-79.8473453522
YXS,North America,53.8894004822,-122.679000854
YXT,North America,54.468498,-128.576009
YXU,North America,43.035599,-81.1539
YXX,North America,49.025299072265625,-122.36100006103516
YXY,North America,60.7095985413,-135.067001343
YYB,North America,46.363602,-79.422798
YYC,North America,51.113899231,-114.019996643
YYD,North America,54.82469940185547,-127.18299865722656
YYE,North America,58.8363990784,-122.597000122
YYF,North America,49.46310043334961,-119.60199737548828
YYG,North America,46.290000915527344,-63.12110137939453
YYH,North America,69.5466995239,-93.5766983032
YYJ,North America,48.646900177,-123.426002502
YYL,North America,56.86389923095703,-101.07599639892578
YYN,North America,50.2919006348,-107.691001892
YYQ,North America,58.739200592041016,-94.06500244140624
YYR,North America,53.3191986084,-60.4258003235
YYT,North America,47.618598938,-52.7518997192
YYU,North America,49.41389846801758,-82.46749877929688
YYW,North America,50.29029846191406,-88.90969848632812
YYY,North America,48.60860061645508,-68.20809936523438
YYZ,North America,43.6772003174,-79.63059997559999
YZD,North America,43.74250030517578,-79.4655990600586
YZE,North America,45.88529968261719,-82.56780242919922
YZF,North America,62.462799072265625,-114.44000244140624
YZH,North America,55.2930984497,-114.777000427
YZP,North America,53.25429916379999,-131.813995361
YZR,North America,42.9994010925293,-82.30889892578125
YZT,North America,50.68059921264648,-127.36699676513672
YZU,North America,54.14390182495117,-115.78700256347656
YZV,North America,50.22330093383789,-66.2656021118164
YZW,North America,60.17279815673828,-132.7429962158203
YZX,North America,44.98440170288086,-64.91690063476562
ZFA,North America,62.20750045776367,-133.37600708007812
ZFM,North America,67.40750122070312,-134.86099243164062
QLD,Africa,36.50360107421875,2.814169883728028
BUJ,Africa,35.33250045776367,4.206389904022217
BJA,Africa,36.7120018005,5.0699200630200005
ALG,Africa,36.69100189208984,3.215409994125366
DJG,Africa,24.292801,9.45244
VVZ,Africa,26.7234992981,8.62265014648
TMR,Africa,22.8115005493,5.45107984543
GJL,Africa,36.7951011658,5.87361001968
MZW,Africa,33.535900116,-0.242353007197
AAE,Africa,36.822201,7.809174
CZL,Africa,36.2760009765625,6.620389938354492
TEE,Africa,35.4315986633,8.12071990967
HRM,Africa,32.93040084838867,3.311539888381958
TID,Africa,35.3410987854,1.46315002441
TIN,Africa,27.7003993988,-8.167099952700001
CFK,Africa,36.2126998901,1.33176994324
TAF,Africa,35.54240036010742,-0.5322780013084412
TLM,Africa,35.0167007446,-1.45000004768
ORN,Africa,35.6239013672,-0.6211829781529999
