latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
37.8757,-105.8918,3a3e4634,A27330,56,51200,7,,BALL,N257TH,1752924960,,,,,0,0,HBAL732,
-33.3779,-70.5791,3a9f267b,10C32270,270,2290,1,,GLID,RPT-1,1752924945,,,,,0,-256,RPT1,
45.8081,8.7723,3a9f26a5,DF0862,89,803,0,,GRND,,1752924890,,,,,0,0,LILC,
36.917,-4.683,3a9f26d1,108E20F0,117,1338,1,,GLID,EGC19-4,1752924953,,,,,0,-128,EGC194,
43.4346,-97.0948,3b0eacaf,A26F79,141,65400,12,,BALL,N256TH,1752924959,,,,,0,0,HBAL756,
50.4239,9.1989,3b434aa5,DD98AC,271,1049,7,,GLID,TEST,1752924889,,,,,0,0,TEST,
46.6526,21.1901,3b467583,DDC0E2,21,5859,56,,GLID,SE-UGU,1752924948,,,,,0,-192,SEUGU,
54.476,24.9918,3b4ad10e,1023BF09,89,521,1,,GLID,LY-GJU,1752924954,,,,,0,0,LYGJU,
59.2667,21.6361,3b4e5835,497022,75,2025,51,,DRON,,1752924960,,,,,0,0,AR5,
50.6751,8.1631,3b4eecc7,48516F,27,1797,1,,DG1T,PH-1557,1752924945,,,,,0,0,PH1557,
43.8689,-79.9871,3b4f6675,C05678,319,2150,94,,C172,C-GGTJ,1752924960,,,,,0,64,CGGTJ,
43.7854,-79.9019,3b4f6a04,C04A67,14,2185,78,,C172,C-GCEO,1752924952,,,,,0,576,CGCEO,
43.4385,-79.8447,3b4f912e,C00CAB,89,580,13,,C172,C-FEUS,1752924952,,,,,0,0,CFEUS,
43.8135,-80.8405,3b4f9752,C08475,21,6400,102,,C172,C-GYEE,1752924960,YKF,,,,0,2432,CGYEE,
47.1501,0.7109,3b4fb3c7,DDD590,347,403,9,,GLID,PERKOZ,1752924891,,,,,0,0,PERKOZ,
40.3346,-97.4073,3b505393,A7E1E0,357,2050,166,,AT6T,N607GK,1752924960,,,,,0,0,N607GK,
33.6441,-84.4215,3b50af7c,A690BF,2,0,12,,A359,N522DZ,1752924959,CPT,ATL,DL211,DL,1,0,DAL211,DAL
