latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
37.845,-105.965,3a3e4634,A27330,71,51300,6,,BALL,N257TH,1752922664,,,,,0,0,HBAL732,
-33.3783,-70.579,3a9f267b,10C32270,118,2480,3,,GLID,RPT-1,1752922663,,,,,0,448,RPT1,
45.808,8.7723,3a9f26a5,DF0862,89,793,0,,GRND,,1752922610,,,,,0,0,LILC,
36.917,-4.6831,3a9f26d1,108E20F0,117,1394,1,,GLID,EGC19-4,1752922654,,,,,0,0,EGC194,
43.5537,-97.1295,3b0eacaf,A26F79,83,65500,9,,BALL,N256TH,1752922664,,,,,0,128,HBAL756,
46.7331,21.112,3b467583,DDC0E2,207,4078,35,,GLID,SE-UGU,1752922657,,,,,0,512,SEUGU,
54.4761,24.9919,3b4ad10e,1023BF09,89,479,1,,GLID,LY-GJU,1752922606,,,,,0,0,LYGJU,
50.675,8.163,3b4eecc7,48516F,65,1797,30,,DG1T,PH-1557,1752922592,,,,,0,0,PH1557,
43.294,1.0459,3b4f4792,DDFA27,271,1131,100,,GLID,F-CHJK,1752922634,,,,,0,0,FCHJK,
43.1186,-80.6857,3b4f9752,C08475,144,4700,100,,C172,C-GYEE,1752922593,YKF,,,,0,-30976,CGYEE,
33.6386,-84.4203,3b50af7c,A690BF,90,0,0,,A359,N522DZ,1752922664,CPT,ATL,DL211,DL,1,0,DAL211,DAL
28.552,77.0764,3b50d754,80153F,14,0,13,,B77L,VT-AEG,1752922664,SFO,DEL,AI174,AI,1,0,AIC174,AIC
44.0428,-80.0329,3b50f6e3,789232,137,10425,315,,A35K,B-LXL,1752922664,HKG,YYZ,CX820,CX,0,-1088,CPA820,CPA
32.6315,-80.5765,3b50fcd7,A759F1,291,38000,509,,A359,N573DZ,1752922664,JNB,ATL,DL201,DL,0,0,DAL201,DAL
22.3136,113.8574,3b51035f,789246,71,1100,148,,A35K,B-LXN,1752922665,YYZ,HKG,CX805,CX,0,-768,CPA805,CPA
51.4685,-0.4699,3b511ce7,406C39,2,0,0,,B789,G-VWHO,1752922661,LHR,LHR,,,1,0,VIR829T,VIR
28.1785,76.3849,3b512092,800583,43,10925,290,,B77W,VT-ALT,1752922665,ORD,DEL,AI126,AI,0,-832,AIC126,AIC
40.6482,-73.7719,3b5127b3,789213,306,0,12,,A35K,B-LXA,1752922664,HKG,JFK,CX844,CX,1,0,CPA844,CPA
51.1138,13.1251,3b512c37,DF03A4,207,3710,80,,GLID,D-1782,1752922643,,,,,0,-256,D1782,
43.7251,-79.7572,3b5131a9,C0174D,226,6125,227,,B77L,C-FIVK,1752922664,DEL,YYZ,AC43,AC,0,-1472,ACA43,ACA
42.5764,-83.7391,3b51454f,A2994C,311,2475,89,,DV20,N267DC,1752922664,AZO,,,,0,0,N267DC,
45.7372,-71.2429,3b5146e9,801612,212,40000,451,,A359,VT-JRB,1752922665,DEL,EWR,AI105,AI,0,0,AIC105,AIC
42.9458,-70.8485,3b515787,8015A7,199,38000,459,,B77W,VT-AER,1752922664,BOM,JFK,AI119,AI,0,0,AIC119,AIC
-38.3451,134.5431,3b51595e,06A07D,102,35000,545,,B77L,A7-BBG,1752922656,DOH,AKL,QR920,QR,0,0,QTR44Y,QTR
22.3201,113.9316,3b516f2a,780A64,227,0,0,,B77W,B-KQP,1752922660,LAX,HKG,CX885,CX,1,0,CPA885,CPA
49.796,16.6807,3b5172d1,10EEBF54,39,1332,10,,GLID,OK-3522,1752922621,,,,,0,0,OK3522,
35.9466,141.0007,3b517389,8694FA,272,16000,401,,B77W,JA792A,1752922664,ORD,HND,NH111,NH,0,0,ANA111,ANA
50.0537,-151.0781,3b517b5b,801538,94,37000,488,,B77L,VT-AEE,1752922662,DEL,SFO,AI173,AI,0,0,AIC173,AIC
0.4032,32.2395,3b518441,4D235C,118,47000,467,,GL7T,9H-VIH,1752922664,DLH,NBO,VJT762,VJ,0,0,VJT762,VJT
35.5479,139.7943,3b518b1c,869560,331,0,9,,B77W,JA795A,1752922662,LHR,HND,NH212,NH,1,0,ANA212,ANA
32.7288,128.2802,3b518f74,7805DC,247,31300,492,,B77L,B-2076,1752922664,ORD,PVG,CK228,CK,0,-960,CKK228,CKK
54.5994,-55.2558,3b51923a,801659,242,39996,464,,A359,VT-JRF,1752922660,DEL,JFK,AI101,AI,0,0,AIC101,AIC
14.1869,121.1151,3b5194f8,39CF11,26,14000,289,,A359,F-HTYR,1752922664,CDG,MNL,AF224,AF,0,64,AFR224,AFR
-30.6005,-70.74,3b5196fa,39CF0F,184,41000,475,,A359,F-HTYP,1752922664,CDG,SCL,AF406,AF,0,0,AFR406,AFR
33.0877,123.3877,3b519964,780F3B,179,32525,500,,B77W,B-7368,1752922664,YYZ,PVG,MU208,MU,0,-1216,CES208,CES
42.3599,-71.0171,3b51999b,A0CC06,271,0,1,,A321,N150UW,1752922665,CLT,BOS,AA1462,AA,1,0,AAL1462,AAL
33.9429,-118.492,3b519b26,3C458A,82,1075,151,,B77L,D-AALJ,1752922664,SZX,LAX,3S587,3S,0,-896,BOX587,BOX
32.7826,-88.5862,3b51a308,4BB193,204,37975,503,,B789,TC-LLS,1752922665,IST,MEX,TK181,TK,0,0,THY181,THY
-27.9288,-65.0625,3b51a335,3462C8,222,40000,438,,A332,EC-NEN,1752922664,BCN,SCL,IB2605,IB,0,0,IBE2605,LVL
33.228,134.1996,3b51ad9c,789231,238,40000,510,,A35K,B-LXK,1752922664,ORD,HKG,CX801,CX,0,0,CPA801,CPA
-32.8556,-70.8133,3b51b1e4,34659A,178,9275,276,,A359,EC-NMZ,1752922664,MAD,SCL,IB6117,IB,0,-896,IBE6117,IBE
45.7296,22.6171,3b51b208,06A12A,130,39000,554,,A35K,A7-ANN,1752922664,LAX,DOH,QR740,QR,0,0,QTR44B,QTR
40.2059,37.0708,3b51b355,06A124,107,39000,551,,A35K,A7-ANH,1752922664,DFW,DOH,QR730,QR,0,0,QTR5J,QTR
43.5405,-80.4924,3b51b51e,C08418,297,3897,81,,C152,C-GYAP,1752922644,,,,,0,0,CGYAP,
36.6089,141.1009,3b51b7db,AA7F5E,251,38000,504,,B772,N776AN,1752922664,DFW,ICN,AA281,AA,0,0,AAL281,AAL
27.196,123.5254,3b51b888,A67F8A,248,32000,418,,A359,N518DZ,1752922662,SEA,TPE,DL69,DL,0,0,DAL69,DAL
52.5022,-82.6666,3b51bacb,06A12B,211,40000,486,,A35K,A7-ANO,1752922664,DOH,DFW,QR731,QR,0,0,QTR16C,QTR
46.1885,22.1698,3b51bbaa,39D2A6,296,40000,444,,A359,F-HUVG,1752922664,ICN,CDG,AF267,AF,0,0,AFR267,AFR
46.7519,-70.5805,3b51bc2a,06A10D,212,40000,447,,A359,A7-ALY,1752922664,DOH,IAD,QR709,QR,0,0,QTR8A,QTR
21.9616,114.3724,3b51bcbb,78022E,247,5550,302,,B77W,B-KPO,1752922663,YVR,HKG,CX867,CX,0,-512,CPA867,CPA
-31.3088,-64.2084,3b51bd41,346291,185,0,17,,B789,EC-NCY,1752922664,MAD,COR,UX121,UX,1,0,AEA121,AEA
47.3113,-72.1538,3b51bd43,8963E4,200,40000,465,,A388,A6-EOG,1752922664,DXB,IAD,EK231,EK,0,-64,UAE3MX,UAE
25.7868,-80.2978,3b51bdc0,4BB190,87,0,101,,B789,TC-LLP,1752922662,IST,MIA,TK157,TK,0,0,THY4JD,THY
38.1054,23.2839,3b51bedc,47B0E7,167,11625,361,,B789,LN-FNE,1752922664,LAX,ATH,N0512,N0,0,-1600,NBT51Z,NBT
26.8069,-130.4375,3b51bef8,A68336,62,39000,498,,A359,N519DN,1752922660,SYD,LAX,DL40,DL,0,0,DAL40,DAL
27.5349,50.2739,3b51bf18,711565,15,1575,123,,A139,HZ-MA24,1752922650,,,,,0,0,HZMA24,
-33.8296,148.5349,3b51bf74,89655B,132,40000,545,,A388,A6-EVO,1752922664,DXB,SYD,EK414,EK,0,0,UAE414,UAE
50.6335,6.1345,3b51c065,3C4587,274,22175,378,,B77L,D-AALG,1752922664,HKG,BRU,3S503,3S,0,-448,BOX503,BOX
35.8824,-61.4138,3b51c07b,896450,240,35996,495,,B77W,A6-EQA,1752922664,DXB,MIA,EK213,EK,0,0,UAE213,UAE
38.3749,-123.6694,3b51c685,3C4582,132,37000,516,,B77L,D-AALB,1752922665,HKG,LAX,3S500,3S,0,0,BOX500,BOX
-22.7613,147.088,3b51c76e,AE1454,101,35000,552,,C17,05-5150,1752922664,,,,,0,640,LAVA91,RCH
48.2217,-67.4323,3b51c7ed,896598,218,38025,450,,A35K,A6-XWC,1752922665,AUH,JFK,EY1,EY,0,0,ETD1,ETD
23.4895,-81.5251,3b51c856,4BB185,253,31925,468,,B789,TC-LLE,1752922664,IST,HAV,TK183,TK,0,-2752,THY183,THY
