latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
39.644,-104.8666,3a3e4634,A27330,14,52600,16,,BALL,N257TH,1753121561,,,,,0,64,HBAL732,
-33.3779,-70.5791,3a9f267b,10C32270,90,2247,1,,GLID,RPT-1,1753121548,,,,,0,0,RPT1,
45.808,8.7723,3a9f26a5,DF0862,271,790,0,,GRND,,1753121561,,,,,0,0,LILC,
43.5206,-96.8442,3b0eacaf,A26F79,18,57100,6,,BALL,N256TH,1753121561,,,,,0,0,HBAL756,
50.424,9.1987,3b434aa5,DD98AC,89,1026,3,,GLID,TEST,1753121562,,,,,0,0,TEST,
47.6182,19.1433,3b52bd6e,10F74B20,180,88,0,,GLID,HA-5176,1753121561,,,,,1,0,HA5176,
47.6177,19.1432,3b52d6ea,10747500,271,396,1,,GLID,HA-4394,1753121561,,,,,0,0,HA4394,
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1753121557,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX
53.2954,18.3847,3b5487c8,488062,79,3500,68,,P06T,SP-ADC,1753121561,,,,,0,512,SPADC,
50.0895,12.9538,3b56b812,49B0E7,180,2132,2,,GLID,OK-0006,1753121555,,,,,0,0,OK0006,
29.4565,-88.0531,3b56c017,A24B4B,180,32775,15,,SOL2,N247PF,1753121561,QSS,,,,0,0,N247PF,
44.955,9.0138,3b56d820,D01474,180,416,1,,GLID,I-JOLI,1753121551,,,,,0,0,IJOLI,
50.7274,7.1446,3b5782b8,3EEAAA,180,177,0,,GLID,D-2579,1753121502,,,,,0,0,D2579,
44.2618,5.9582,3b578393,405E37,258,1988,3,,GLID,G-DJAC,1753121555,,,,,0,0,GDJAC,
59.4646,22.8539,3b57e020,497022,140,1600,37,,DRON,,1753121561,,,,,0,0,AR5,
17.9667,-67.0667,3b584719,AB0569,271,4300,10,,SHIP,N809XR,1753121484,,,,,0,0,N809XR,
43.0871,-80.9693,3b59357f,C00454,237,4200,99,,C172,C-FBQP,1753121561,,,,,0,-384,CFBQP,
25.0646,51.6895,3b59459e,06A073,337,4100,200,,B77L,A7-BBC,1753121561,AKL,DOH,QR921,QR,0,-1088,QTR85N,QTR
-36.3951,148.2789,3b59538d,7C8068,252,40000,431,,B789,VH-ZNE,1753121561,DFW,MEL,QF22,QF,0,-64,QFA22,QFA
47.4381,-122.3032,3b595794,A67811,16,0,0,,A359,N516DN,1753121561,TPE,SEA,DL68,DL,1,0,DAL68,DAL
